Date,Close,CloseUSD,Returns10d,Returns01d,Turnover
2020-01-24,109.56790161132812,1.8231690438259183,-0.12467334370669281,-0.034184589425603096,1459656.6639955651
2020-01-27,107.18496704101562,1.7813985115427484,-0.0986248797648781,-0.0217484731866594,2151698.297071487
2020-01-28,113.91323852539062,1.892903658004035,-0.029844799453572657,0.06277252930254984,2459241.5827834574
2020-01-29,114.3804702758789,1.8988943406254954,0.0020466590952110675,0.004101645748436411,3517985.284168358
2020-01-30,116.06254577636719,1.926307744004979,-0.013502760205341247,0.014705967692135058,2847239.4575372254
2020-01-31,114.19358825683594,1.8922827689335995,-0.03322784319561478,-0.016103020203713347,1321923.3907142242
2020-02-03,119.19306182861328,1.9713388655642834,-0.004293560837820176,0.04378068548413494,1775765.8928502384
2020-02-04,118.02494812011719,1.948114328820339,0.021018582753289827,-0.009800182079186093,3369159.4517567526
2020-02-05,116.57650756835938,1.9240412938296036,0.0012038756500571957,-0.01227232525689137,1011011.7170499333
2020-02-06,116.62322998046875,1.9217960101915441,0.02800647899287112,0.0004007875435965147,886083.0052731017
2020-02-07,118.44547271728516,1.9487926355574905,0.08102346558984563,0.015625040886979136,1989916.8801731742
2020-02-10,118.118408203125,1.937113612672505,0.10200536011664352,-0.0027613086989050073,609404.3167229189
2020-02-11,114.75428009033203,1.8775180724266616,0.007383176668741109,-0.02848098077149641,1355745.23690195
2020-02-12,114.24031066894531,1.8656962155236694,-0.0012253805793553951,-0.004478869293434107,1435567.913484992
